,game_id,game_date,team_id,team_display_name,opponent_team_id,opponent_team_name,opponent_team_display_name,team_score,opponent_team_score,TeamID,TeamName,opponent_TeamID,opponent_TeamName
1,401638645,4/8/24,2509,Purdue Boilermakers,41,Huskies,UConn Huskies,60,75,1345,Purdue,1163,Connecticut
2,401638644,4/6/24,333,Alabama Crimson Tide,41,Huskies,UConn Huskies,72,86,1104,Alabama,1163,Connecticut
3,401638643,4/6/24,152,NC State Wolfpack,2509,Boilermakers,Purdue Boilermakers,50,63,1301,NC State,1345,Purdue
4,401638641,3/31/24,152,NC State Wolfpack,150,Blue Devils,Duke Blue Devils,76,64,1301,NC State,1181,Duke
5,401638642,3/31/24,2633,Tennessee Volunteers,2509,Boilermakers,Purdue Boilermakers,66,72,1397,Tennessee,1345,Purdue
6,401638640,3/30/24,228,Clemson Tigers,333,Crimson Tide,Alabama Crimson Tide,82,89,1155,Clemson,1104,Alabama
7,401638639,3/30/24,356,Illinois Fighting Illini,41,Huskies,UConn Huskies,52,77,1228,Illinois,1163,Connecticut
8,401638636,3/29/24,156,Creighton Bluejays,2633,Volunteers,Tennessee Volunteers,75,82,1166,Creighton,1397,Tennessee
9,401638638,3/29/24,150,Duke Blue Devils,248,Cougars,Houston Cougars,54,51,1181,Duke,1222,Houston
10,401638635,3/29/24,2250,Gonzaga Bulldogs,2509,Boilermakers,Purdue Boilermakers,68,80,1211,Gonzaga,1345,Purdue
11,401638637,3/29/24,152,NC State Wolfpack,269,Golden Eagles,Marquette Golden Eagles,67,58,1301,NC State,1266,Marquette
12,401638634,3/28/24,356,Illinois Fighting Illini,66,Cyclones,Iowa State Cyclones,72,69,1228,Illinois,1235,Iowa St
13,401638632,3/28/24,333,Alabama Crimson Tide,153,Tar Heels,North Carolina Tar Heels,89,87,1104,Alabama,1314,North Carolina
14,401638633,3/28/24,21,San Diego State Aztecs,41,Huskies,UConn Huskies,52,82,1361,San Diego St,1163,Connecticut
15,401638631,3/28/24,228,Clemson Tigers,12,Wildcats,Arizona Wildcats,77,72,1155,Clemson,1112,Arizona
16,401638629,3/24/24,43,Yale Bulldogs,21,Aztecs,San Diego State Aztecs,57,85,1228,Illinois,1361,San Diego St
17,401638626,3/24/24,245,Texas A&M Aggies,248,Cougars,Houston Cougars,95,100,1401,Texas A&M,1222,Houston
18,401638630,3/24/24,77,Northwestern Wildcats,41,Huskies,UConn Huskies,58,75,1321,Northwestern,1163,Connecticut
19,401638623,3/24/24,2253,Grand Canyon Lopes,333,Crimson Tide,Alabama Crimson Tide,61,72,1213,Grand Canyon,1104,Alabama
20,401638624,3/24/24,228,Clemson Tigers,239,Bears,Baylor Bears,72,64,1155,Clemson,1124,Baylor
21,401638627,3/24/24,256,James Madison Dukes,150,Blue Devils,Duke Blue Devils,55,93,1241,James Madison,1181,Duke
22,401638628,3/24/24,328,Utah State Aggies,2509,Boilermakers,Purdue Boilermakers,67,106,1429,Utah St,1345,Purdue
23,401638625,3/24/24,38,Colorado Buffaloes,269,Golden Eagles,Marquette Golden Eagles,77,81,1160,Colorado,1266,Marquette
24,401638618,3/23/24,2483,Oregon Ducks,156,Bluejays,Creighton Bluejays,73,86,1332,Oregon,1166,Creighton
25,401638615,3/23/24,2184,Duquesne Dukes,356,Fighting Illini,Illinois Fighting Illini,63,89,1182,Duquesne,1228,Illinois
26,401638619,3/23/24,251,Texas Longhorns,2633,Volunteers,Tennessee Volunteers,58,62,1400,Texas A&M,1397,Tennessee
27,401638620,3/23/24,2473,Oakland Golden Grizzlies,152,Wolfpack,NC State Wolfpack,73,79,1324,Oakland,1301,NC State
28,401638616,3/23/24,265,Washington State Cougars,66,Cyclones,Iowa State Cyclones,56,67,1450,Washington St,1235,Iowa St
29,401638622,3/23/24,127,Michigan State Spartans,153,Tar Heels,North Carolina Tar Heels,69,85,1277,Michigan St,1314,North Carolina
